x,y,z,orientation_x,orientation_y,orientation_z,orientation_w,longitudinal_velocity_mps,lateral_velocity_mps,heading_rate_rps,acceleration_mps2
-50.935886326117966,56.67802112545322,0.22481893202504102,0.022750284625246617,0.036489293604862874,-0.5949497526407552,0.802611828865232,0.8497203119185776,0.0,0.002855268307011017,0.812080990208934
-50.73076739262567,56.00219676162493,0.18061150491258443,0.022203197318797212,0.03544644671963534,-0.5951379767099854,0.8025343332975354,1.73251957627695,0.0,-0.004782163258628081,1.0081995508449586
-50.52702787099487,55.324382915367295,0.13441285955945298,0.021733549228078,0.0351601169728748,-0.5963475141876009,0.8016614380988234,2.086989261713896,0.0,-0.008118306352251596,1.0554594692305557
-50.314107639736534,54.61025551546222,0.08988434956535066,0.020447633093967764,0.03426462542289715,-0.597659118523758,0.8007567719294592,2.4103384249696695,0.0,-0.008793051448096782,0.9667696576026176
-50.11241397535211,53.9168575799991,0.047425344582935715,0.019174333695413402,0.033616035350072966,-0.5992590016356512,0.7996192569300231,2.6015813511364203,0.0,-0.009339891513909175,0.7958315623703451
-49.91347741034163,53.21937838250156,0.008793835730383564,0.018255734811585593,0.033152081343098674,-0.6006780355892746,0.7985947440408808,2.845057946717092,0.0,-0.014252267107222556,0.9037393011078404
-49.72072038052446,52.539993007446924,-0.031190984500102773,0.01758373785083734,0.03271790383537106,-0.6019317166085466,0.7976832450744473,3.0033208330661756,0.0,-0.012300203589739626,0.7441051003435383
-49.519725837227355,51.818706076659225,-0.06935338863676276,0.016818471540965295,0.03173269889687201,-0.6035899321472212,0.7964856361832644,3.2063007192530977,0.0,-0.01484393294171428,0.7525767280451549
-49.3310347011676,51.122746634021226,-0.10705724458340549,0.01582581241209681,0.031046157437831394,-0.605267875842751,0.7952587492399229,3.2908968135562056,0.0,-0.016623263899819798,0.527911713741355
-49.14568424562552,50.413576664523625,-0.1477877231391675,0.015405554937446381,0.032924268972175236,-0.607111409672264,0.7937848560129336,3.3806324448207943,0.0,-0.017106545329329516,0.41190858982395867
-48.95421785188802,49.68072865133222,-0.18476499837556595,0.014651870797117439,0.03395519527827466,-0.608698956177658,0.7925389253178601,3.4616376942513605,0.0,-0.014042404037201302,0.40393859644971314
-48.77742054466397,48.99977026015092,-0.21464395113810392,0.01446231585801277,0.033660451412586674,-0.6101066980192976,0.7914718140671299,3.5301313685349256,0.0,-0.012903962068967613,0.3794724151763702
-48.60242958302507,48.29529242098642,-0.2482179897430416,0.015010431645471547,0.03341324941828261,-0.6119386965217993,0.790056500134218,3.5780731450885317,0.0,-0.018599433438582322,0.31926766203411716
-48.42069737983334,47.5783077979399,-0.29031816914255915,0.015006370018499665,0.03319398974928084,-0.6133248766243811,0.7889902176941614,3.6380467519862245,0.0,-0.019550180847671544,0.31507191377324567
-48.24107428882208,46.84849110354819,-0.3270040747786724,0.01419422073843923,0.03341318927365606,-0.6146839746319106,0.7879376207612555,3.689042860448776,0.0,-0.01008080743958572,0.25184411735456563
-48.068421476433564,46.12461122637735,-0.3563552834930977,0.014824547913871961,0.033875540756157604,-0.6163742277412895,0.7865847010296834,3.721766820021471,0.0,-0.015039307661428082,0.2105947325060693
-47.88851103057237,45.38971494508851,-0.39955935085949595,0.014862387290598182,0.03315514427165315,-0.6174590560819164,0.785763424902673,3.784093032129722,0.0,-0.01625863870932326,0.24822868630176287
-47.708166742305664,44.657154152964104,-0.4401188284809442,0.01465639028655998,0.033652033479837196,-0.6179892089558752,0.7853292739230671,3.7823246796697036,0.0,-0.002320334963875686,0.1103231249461414
-47.524289902636916,43.91545958392298,-0.47800840201735,0.013386815212282951,0.033852829395903485,-0.6172964578875179,0.7858879450658903,3.8361981915481858,0.0,0.013511156664744338,0.2082352682999546
-47.35117852662281,43.232699582990335,-0.5001252081650225,0.011346985512871879,0.03374268342778412,-0.6161668702105357,0.7868106921552451,3.9364232756896174,0.0,0.01565133425574611,0.356303730027547
-47.17964000110226,42.553965792248725,-0.5242543962236881,0.010555833314444306,0.03296382169367488,-0.6146876021633804,0.7880108581669537,3.8763442071607948,0.0,0.015262156089290614,0.00933405615874387
-46.98392905461932,41.80655062884014,-0.5746794049785929,0.009841899130157945,0.03211879741728569,-0.6138271590446123,0.7887253886449956,3.8823869823153405,0.0,0.009016226184468146,0.03794351492063871
-46.781985195077056,41.05683698759146,-0.6061238875894998,0.007997614336811586,0.03453726358448522,-0.6133728687318405,0.7889974267972537,3.8265042007285675,0.0,0.002065189290953547,-0.15899594756967744
-46.58346393864273,40.31252884902538,-0.6075644993547578,0.007760668780862267,0.03488705305871529,-0.612525979894351,0.7896420641679477,3.810673916085646,0.0,0.011219125572382213,-0.07556349321081716
-46.38251985046081,39.566683714805386,-0.6486851280188695,0.008478291992186216,0.03264997717640921,-0.6116010607870007,0.7904468609587177,3.8650555762269114,0.0,0.008078034240466119,0.15095620750838423
-46.20315666375794,38.889412690071254,-0.6700198235119584,0.006573103142346487,0.032115247934210917,-0.6112521360992832,0.7907567459587477,3.887661427397387,0.0,0.003927981071113295,0.09622342699567692
-46.021665015397744,38.20402750920549,-0.6898793147088187,0.005070736538093109,0.030866627854954892,-0.6109375247038851,0.7910606043941988,3.903485547868289,0.0,0.004628374920904895,0.12860831191930336
-45.8416047930314,37.518097286039676,-0.7089786272811336,0.006789199723919139,0.029743178295079144,-0.61084341186291,0.7911634321021764,3.9229716484980632,0.0,0.0022999457869207706,0.11052191297047644
-45.65669947777528,36.82978392877381,-0.7352085924416545,0.007200642046147237,0.02901162649564912,-0.6109154324379537,0.791131348570734,3.9126868813490714,0.0,-0.0002683824899966298,0.06738138423366702
-45.477542554611944,36.14149288733837,-0.7516162887673817,0.005297607712945209,0.027940238102253774,-0.6113366132345625,0.7908595474331737,3.918621694482443,0.0,-0.00422016200006274,0.027523703870768843
-45.29743952706186,35.453566901685626,-0.781328182364699,0.004538231876385473,0.02705461960128199,-0.6113817612825114,0.790860160825389,3.9258483743791137,0.0,0.0009285799092032574,0.06461200618297464
-45.11825653369139,34.76743245079401,-0.799963252760026,0.00393128906956723,0.02578383359435261,-0.6116939248848627,0.7906644554742438,3.9324002432384377,0.0,-0.002621268421304032,0.036033666177926076
-44.93472010531499,34.07602600590856,-0.8143497526017747,0.0034537550877794115,0.026453296121323203,-0.611589008316732,0.7907257296978942,3.9252081435441313,0.0,-0.0006619445701838442,-0.005232305217365804
-44.75065700096813,33.382289394515475,-0.8217118162182597,0.003149707172312992,0.02747033704367833,-0.6117879731401598,0.7905383835390224,3.93335216631716,0.0,-0.001475323871894343,0.0026611379138364024
-44.569206872109476,32.694081330235306,-0.8335849361089351,0.0031976152647368774,0.027867055456455056,-0.611605659148298,0.7906653654831363,3.9297329413901765,0.0,0.0013207161902395888,-0.028708580959539206
-44.38780592196225,32.00762117269999,-0.8510590073225425,0.002607176181394919,0.02795229724840887,-0.6117475366525524,0.7905547565541744,3.9025199800500863,0.0,0.0013626420870627887,-0.05846147003269181
-44.20817847487251,31.323650571380483,-0.8657433362391971,0.00222643219349797,0.02775987702393022,-0.6118184346263538,0.7905078337870298,3.894499899410764,0.0,-0.0002651787892227369,-0.056557235013645416
-44.0311373565324,30.63556331994533,-0.8826746096771089,0.0025139794794731083,0.027140229156879612,-0.6119062758721092,0.7904604970628291,3.9075057437010843,0.0,0.0013357348701780614,0.018654479965249805
